Id,Cover_Type
115121,2
115122,2
115123,2
115124,2
115125,2
115126,2
115127,2
115128,2
115129,2
115130,2
115131,2
115132,2
115133,2
115134,2
115135,2
115136,2
115137,2
115138,2
115139,2
115140,2
115141,2
115142,2
115143,2
115144,2
115145,2
115146,2
115147,2
115148,2
115149,2
115150,2
115151,2
115152,2
115153,2
115154,2
115155,2
115156,2
115157,2
115158,2
115159,2
115160,2
115161,2
115162,2
115163,2
115164,2
115165,2
115166,2
115167,2
115168,2
115169,2
115170,2
115171,2
115172,2
115173,2
115174,2
115175,5
115176,5
115177,5
115178,5
115179,5
115180,5
115181,5
115182,5
115183,5
115184,5
115185,2
115186,2
115187,5
115188,5
115189,5
115190,5
115191,5
115192,2
115193,2
115194,2
115195,2
115196,2
115197,2
115198,2
115199,2
115200,2
115201,2
115202,2
115203,2
115204,2
115205,5
115206,5
115207,5
115208,5
115209,5
115210,5
115211,5
115212,2
115213,2
115214,2
115215,2
115216,2
115217,2
115218,2
115219,2
115220,2
115221,2
115222,2
115223,2
115224,2
115225,2
115226,2
115227,2
115228,2
115229,2
115230,2
115231,2
115232,2
115233,2
115234,2
115235,2
115236,2
115237,2
115238,2
115239,2
115240,2
115241,2
115242,2
115243,2
115244,2
115245,2
115246,2
115247,2
115248,2
115249,2
115250,2
115251,2
115252,2
115253,2
115254,2
115255,2
115256,2
115257,2
115258,2
115259,2
115260,2
115261,2
115262,2
115263,2
115264,2
115265,2
115266,2
115267,2
115268,2
115269,2
115270,2
115271,2
115272,2
115273,2
115274,2
115275,2
115276,2
115277,2
115278,2
115279,2
115280,5
115281,2
115282,2
115283,2
115284,2
115285,2
115286,2
115287,2
115288,5
115289,5
115290,2
115291,2
115292,2
115293,2
115294,2
115295,2
115296,2
115297,2
115298,2
115299,2
115300,2
115301,2
115302,2
115303,2
115304,2
115305,2
115306,2
115307,2
115308,2
115309,2
115310,2
115311,2
115312,2
115313,2
115314,2
115315,2
115316,2
115317,2
115318,2
115319,5
115320,5
115321,5
115322,5
115323,2
115324,2
115325,2
115326,2
115327,2
115328,2
115329,2
115330,2
115331,2
115332,2
115333,2
115334,2
115335,2
115336,2
115337,2
115338,2
115339,2
115340,2
115341,2
115342,2
115343,2
115344,2
115345,2
115346,2
115347,2
115348,2
115349,2
115350,2
115351,2
115352,5
115353,5
115354,2
115355,2
115356,2
115357,2
115358,2
115359,2
115360,2
115361,2
115362,2
115363,2
115364,2
115365,2
115366,2
115367,2
115368,2
115369,2
115370,2
115371,2
115372,2
115373,2
115374,2
115375,2
115376,2
115377,2
115378,2
115379,2
115380,5
115381,5
115382,2
115383,2
115384,2
115385,2
115386,2
115387,2
115388,2
115389,2
115390,2
115391,2
115392,2
115393,2
115394,2
115395,2
115396,2
115397,2
115398,2
115399,2
115400,2
115401,2
115402,2
115403,2
115404,2
115405,2
115406,2
115407,2
115408,2
115409,2
115410,2
115411,2
115412,2
115413,2
115414,2
115415,2
115416,2
115417,2
115418,2
115419,5
115420,5
115421,5
115422,1
115423,1
115424,1
115425,1
